,Squad,Comp,Player,Pos,Age,Min_Playing,Gls,Ast,G+A,xG_Expected,npxG_Expected,xAG_Expected,TklW_Tackles,Sh_Blocks,Int,Clr,Recov,xG_Expected_norm,xAG_Expected_norm,G+A_norm,TklW_Tackles_norm,Sh_Blocks_norm,Int_norm,Clr_norm,Recov_norm,Min_Playing_norm,Score,Rank
1654,Manchester Utd,Premier League,Rasmus Højlund,FW,21.0,2004.0,4,0,4,5.3,5.3,1.8,1,0,2,6,35,0.21031746031746032,0.1267605633802817,0.0851063829787234,0.0125,0.0,0.030303030303030304,0.024096385542168676,0.15283842794759825,0.5858438139806961,0.14574771025571376,188.0
1660,Manchester Utd,Premier League,Lisandro Martínez,DF,26.0,1751.0,2,1,3,1.3,1.3,1.1,24,8,32,57,81,0.05158730158730159,0.07746478873239437,0.06382978723404255,0.3,0.14035087719298245,0.48484848484848486,0.2289156626506024,0.3537117903930131,0.5118455688797894,0.14471872486772147,189.0
1389,Leicester City,Premier League,Jordan Ayew,"FW,MF",32.0,1638.0,5,0,5,3.2,2.4,1.1,15,2,12,19,93,0.126984126984127,0.07746478873239437,0.10638297872340426,0.1875,0.03508771929824561,0.18181818181818182,0.07630522088353414,0.40611353711790393,0.47879496928926585,0.1431457730067544,190.0
1670,Manchester Utd,Premier League,Joshua Zirkzee,"FW,MF",23.0,1402.0,3,1,4,4.8,4.8,1.5,8,4,6,8,57,0.19047619047619047,0.10563380281690142,0.0851063829787234,0.1,0.07017543859649122,0.09090909090909091,0.0321285140562249,0.24890829694323144,0.40976893828604855,0.14288540824153645,191.0
608,Chelsea,Premier League,Christopher Nkunku,FW,26.0,921.0,3,2,5,4.8,4.8,2.1,8,2,7,10,29,0.19047619047619047,0.147887323943662,0.10638297872340426,0.1,0.03508771929824561,0.10606060606060606,0.040160642570281124,0.12663755458515283,0.26908452763966073,0.14184847018396773,192.0
673,Crystal Palace,Premier League,Eddie Nketiah,"FW,MF",25.0,1034.0,3,1,4,5.8,5.8,1.7,8,1,3,12,26,0.23015873015873015,0.11971830985915494,0.0851063829787234,0.1,0.017543859649122806,0.045454545454545456,0.04819277108433735,0.11353711790393013,0.30213512723018426,0.14135572868130072,193.0
906,Fulham,Premier League,Harry Wilson,"FW,MF",27.0,1162.0,6,1,7,4.2,4.2,1.1,14,1,7,10,55,0.16666666666666669,0.07746478873239437,0.14893617021276595,0.175,0.017543859649122806,0.10606060606060606,0.040160642570281124,0.24017467248908297,0.3395729745539631,0.14120582955518488,194.0
2842,Wolves,Premier League,Mario Lemina,"MF,DF",30.0,1364.0,1,3,4,1.4,1.4,1.1,31,7,27,50,73,0.05555555555555555,0.07746478873239437,0.0851063829787234,0.3875,0.12280701754385964,0.4090909090909091,0.20080321285140562,0.31877729257641924,0.3986545773618017,0.14106255148011002,195.0
1657,Manchester Utd,Premier League,Harry Maguire,DF,31.0,1758.0,1,0,1,1.8,1.8,0.6,15,12,40,78,68,0.07142857142857144,0.04225352112676056,0.02127659574468085,0.1875,0.21052631578947367,0.6060606060606061,0.3132530120481928,0.29694323144104806,0.5138929511553085,0.14054340062759116,196.0
2518,Tottenham,Premier League,Destiny Udogie,DF,21.0,1923.9999999999998,0,1,1,0.3,0.3,1.5,47,6,22,36,111,0.011904761904761904,0.10563380281690142,0.02127659574468085,0.5875,0.10526315789473684,0.3333333333333333,0.14457831325301204,0.4847161572052402,0.5624451594033343,0.13984531433822786,197.0
104,Aston Villa,Premier League,Amadou Onana,MF,22.0,1617.0,3,0,3,2.1,2.1,0.7,30,7,26,41,72,0.08333333333333334,0.04929577464788732,0.06382978723404255,0.375,0.12280701754385964,0.3939393939393939,0.1646586345381526,0.314410480349345,0.4726528224627084,0.13979852981805896,198.0
2492,Tottenham,Premier League,Rodrigo Bentancur,MF,27.0,1645.0,2,0,2,1.3,1.3,0.4,22,8,40,38,121,0.05158730158730159,0.028169014084507046,0.0425531914893617,0.275,0.14035087719298245,0.6060606060606061,0.15261044176706828,0.5283842794759825,0.480842351564785,0.13878305939403546,199.0
